Open World Binary - Random Forest Experiment Results (No SMOTE)
==================================================
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9187931034482759, 'Cross_Val_Std': 0.0014578909073524086, 'Test_Accuracy': 0.9167241379310345}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9215948275862068, 'Cross_Val_Std': 0.0016548580879700416, 'Test_Accuracy': 0.9186206896551724}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9186637931034483, 'Cross_Val_Std': 0.00304665466328833, 'Test_Accuracy': 0.9175862068965517}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9219827586206897, 'Cross_Val_Std': 0.0021978532386175654, 'Test_Accuracy': 0.9208620689655173}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9195258620689655, 'Cross_Val_Std': 0.0019544455256473646, 'Test_Accuracy': 0.9155172413793103}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9210775862068965, 'Cross_Val_Std': 0.001399369231098938, 'Test_Accuracy': 0.9208620689655173}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9206896551724139, 'Cross_Val_Std': 0.0019799455306647737, 'Test_Accuracy': 0.9175862068965517}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9231896551724137, 'Cross_Val_Std': 0.0020698633109556726, 'Test_Accuracy': 0.9229310344827586}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.920948275862069, 'Cross_Val_Std': 0.0023820261861462314, 'Test_Accuracy': 0.9182758620689655}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9232327586206897, 'Cross_Val_Std': 0.0008335810174919832, 'Test_Accuracy': 0.9220689655172414}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9216379310344829, 'Cross_Val_Std': 0.001700265769251362, 'Test_Accuracy': 0.9189655172413793}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9225, 'Cross_Val_Std': 0.0019686529735636624, 'Test_Accuracy': 0.921896551724138}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9209051724137932, 'Cross_Val_Std': 0.002426842803492989, 'Test_Accuracy': 0.9156896551724137}
